R6509,R4710
R7105,R7883
R3221,R3774
R3728,R7172
R8423,R5242
R1852,R3506
R6571,R1868
R6594,R3379
R5678,R6635
R4357,R2718
R4372,R3109
R5809,R5740
R6334,R9165
R2994,R5812
R3078,R6393
R6273,R7008
R1077,R2531
R9065,R6723
R2308,R8505
R7533,R7908
R5700,R3469
R4369,R3113
R9491,R5660
R6438,R5803
R2862,R6180
R8282,R4205
R9074,R2763
R9011,R7720
R8379,R9566
R3651,R9438
R7100,R9998
R7926,R7365
R8498,R4118
R9568,R2259
R2377,R2321
R6376,R6555
R6232,R2144
R7017,R1534
R7621,R5093
R7619,R2152
R7511,R6978
R2150,R8500
R3082,R1143
R4526,R3645
R5185,R5458
R5450,R5986
R6236,R8150
R8682,R6656
R3600,R6386
R1890,R1039
R2648,R8965
R2965,R1879
R5407,R2335
R7439,R5701
R6385,R4774
R9069,R8685
R6319,R6143
R4832,R3504
R5373,R6986
R5570,R5765
R3182,R9671
R2304,R5378
R5710,R7374
R6125,R6133
R9113,R9694
R3894,R8060
R4185,R2270
R6688,R7421
R8285,R8277
R4829,R6096
R7927,R6984
R8689,R5046
R3278,R5138
R8717,R7057
R4853,R4283
R4281,R7304
R9204,R1058
R5714,R5860
R8262,R2021
R3713,R4491
R6703,R1041
R8381,R2052
R9821,R7200
R9656,R3128
R7898,R5003
R1709,R7257
R7364,R4382
R2265,R8587
R9333,R2111
R8814,R2982
R9557,R7609
R5174,R7417
R2876,R1628
R4931,R3026
R3227,R1545
R5837,R9861
R1831,R3040
R9942,R4234
R4504,R3527
R7785,R6204
R7876,R1330
R1766,R6262
R2805,R1827
R6876,R6466
R4368,R1118
R6380,R2126
R4184,R2740
R7760,R4124
R6854,R8245
R1990,R2812
R6609,R3107
R9542,R4972
R6354,R8400
R6830,R8116
R6304,R2939
R7431,R3349
R8594,R9465
R8650,R1953
R7529,R6243
R3972,R5576
R6813,R1898
R6257,R3787
R7574,R8982
R1097,R1384
R2878,R6563
R6100,R3996
R8014,R6671
R2700,R2955
R4204,R3794
R7683,R6715
R9167,R3884
R6955,R2344
R9878,R8023
R2582,R7131
R8951,R8726
R1689,R2935
R4855,R1535
R1208,R4658
R7114,R2324
R3369,R3143
R5189,R8043
R5370,R5766
R4129,R9597
R4033,R3604
R8560,R3511
R5247,R5847
R6747,R8981
R2528,R1703
R9874,R1214
R9410,R1651
R2281,R2814
R4908,R6114
R7866,R6964
R5667,R1251
R6306,R1686
R9599,R8039
R3606,R3997
R9248,R5468
R3831,R9168
R5150,R4935
R7425,R7506
R1466,R9271
R9495,R9883
R2496,R7660
R2670,R3300
R1412,R6186
R2555,R7303
R7698,R8389
R6416,R3416
R7542,R5439
R1499,R7577
R7453,R5665
R6573,R5307
R7356,R9707
R4664,R2733
R4388,R2236
R3968,R6359
R4940,R9388
R1874,R2314
R8841,R2315
R5256,R8058
R8858,R9059
R6357,R8693
R6135,R2680
R6223,R4256
R4135,R6408
R4785,R3231
R7703,R4003
R1217,R7275
R5201,R9096
R9752,R7386
R2992,R5284
R8637,R8095
R2438,R4936
R5648,R6116
R2954,R2816
R1900,R6570
R3328,R3631
R9095,R9474
R9699,R8768
R7845,R6188
R9211,R6912
R3557,R9686
R1654,R4047
R5804,R8797
R7598,R6787
R9093,R4354
R5012,R1287
